year,head_no,actual,approved,revised,estimate
2009,46,3282475,3385233,3018090,3007718
2009,47,541628,564184,554984,655842
2009,48,278693,329049,332271,319449
2009,49,3863520,4390654,4642449,4453871
2009,51,1622697,1805428,1719403,1828181
2009,53,982921,1384989,3296110,1340002
2009,55,64346,63609,63370,66300
2009,59,422942,448883,451547,486498
2009,60,1997255,2109209,2131674,2228180
2009,62,116736,125553,2645853,130531
2009,63,1268951,1547250,1537494,1625816
2009,70,2627279,2709371,2824842,2876801
2009,72,696940,756887,752867,808148
2009,74,339807,370047,359650,379335
2009,76,1140579,1251688,1218595,1276595
2009,78,82823,92748,91836,98261
2009,79,107685,109307,110516,111562
2009,80,910459,1044758,972773,1118507
2009,82,783243,825042,835750,890638
2009,90,1046994,1016769,1078063,1134197
2009,91,1572718,1698662,1700900,1793888
2009,92,855181,949200,941136,1004363
2009,94,646780,758863,688407,752482
2009,95,4961859,5054876,5124789,5426130
2009,96,274394,310907,277119,314701
2009,100,879430,918973,929277,960879
2009,106,81541,40887954,12819256,9594408
2009,112,358389,385927,397866,407454
2009,114,81612,85144,89078,90272
2009,116,110070,134284,121003,140854
2009,118,435600,468647,473457,485532
2009,120,14736368,16525011,15916289,17582620
2009,121,15206,16526,17789,28283
2009,122,11515456,11913550,12228709,12573067
2009,136,15597,17886,18153,17090
2009,137,28452,63731,56588,70246
2009,138,84086,96604,297859,308957
2009,139,37599,65423,46486,97459
2009,140,30020597,30762021,32980020,33387074
2009,141,842952,498688,488325,569440
2009,142,512948,498406,480431,521144
2009,143,405983,397937,415340,417851
2009,144,218182,345684,342686,465160
2009,147,170869,188737,3380318,4893429
2009,148,103796,127327,136917,140218
2009,151,124585,160491,158844,172625
2009,152,962679,1180197,1166684,1221053
2009,155,470120,507943,512201,518516
2009,156,34587017,37640728,37114238,39361534
2009,158,106649,121693,120563,134537
2009,159,181876,221117,207040,239041
2009,160,432145,490757,481504,507957
2009,162,358607,386329,391582,403124
2009,163,229203,352739,328671,78444
2009,166,213090,257280,233341,275591
2009,168,196560,203416,209161,220491
2009,169,8653,11524,11123,12843
2009,170,33958580,34424527,39169416,39105111
2009,173,3258269,3649222,3672314,3905839
2009,174,13911,25791,27672,27271
2009,180,105128,147820,148880,191132
2009,181,435954,454395,521368,581080
2009,184,766800,740400,350000,15409200
2009,186,916735,1108874,1062740,1216175
2009,188,298598,331093,315796,336131
2009,190,12188484,11926403,30373427,11645763
2009,194,5146135,5139042,5292795,5755418
2010,21,80747,84507,84507,82591
2010,22,1080906,930068,876294,943104
2010,23,63888,70154,69038,65004
2010,24,120442,122364,118991,121638
2010,25,1454642,1521318,1515710,1535891
2010,26,470711,553424,502929,599165
2010,27,82156,82067,81989,78268
2010,28,668315,712824,681673,726398
2010,30,2627500,2698592,2711333,2845482
2010,31,2288494,2485416,2436076,2509384
2010,33,1446107,2115033,1931814,2132587
2010,37,3351167,4120690,4553303,4560090
2010,39,1680147,1769653,1768443,1808389
2010,42,327393,463722,461628,400857
2010,44,2541740,3202669,2273004,2248453
2010,45,3518546,3801080,3899944,4092855
2010,46,2913271,3007718,2668396,2792747
2010,47,559836,655842,648806,580499
2010,48,325499,319449,312504,355005
2010,49,4617041,4453871,4339847,4543431
2010,51,1672778,1828181,1698001,1770012
2010,53,7459789,1340002,4272269,1348265
2010,55,72883,66300,211752,291421
2010,59,440237,486498,478772,491806
2010,60,2141206,2228180,2187597,2194355
2010,62,2638648,130531,1927801,128712
2010,63,1511036,1625816,1615686,1639685
2010,70,2821346,2876801,2849414,3039401
2010,72,750071,808148,787538,814174
2010,74,353053,379335,360643,373769
2010,76,1182802,1276595,1170882,1273893
2010,78,91199,98261,95652,96086
2010,79,108023,111562,111339,105776
2010,80,969547,1118507,1008883,1115639
2010,82,838141,890638,881194,867834
2010,90,1070059,1134197,1160745,1166267
2010,91,1691823,1793888,1727046,1793355
2010,92,937044,1004363,974138,1009882
2010,94,661163,752482,721192,752971
2010,95,5097452,5426130,5408293,5454665
2010,96,278198,314701,284620,303747
2010,100,915454,960879,939636,964272
2010,106,46580,9594408,113601,17600787
2010,112,399269,407454,404134,414367
2010,114,89037,90272,89990,88487
2010,116,114669,140854,121983,138577
2010,118,459879,485532,476008,475571
2010,120,15699877,17582620,16920016,18587447
2010,121,17361,28283,27283,27177
2010,122,12239394,12573067,12620867,13042384
2010,136,18138,17090,17016,16474
2010,137,52432,70246,63213,70641
2010,138,296475,308957,665764,1179116
2010,139,43568,97459,70405,70810
2010,140,32990350,33387074,33063338,34584171
2010,141,468650,569440,492668,537939
2010,142,454103,521144,489395,524735
2010,143,413908,417851,415304,410245
2010,144,337664,465160,417764,569686
2010,147,3422595,4893429,4532052,685754
2010,148,8726867,140218,140214,160788
2010,151,154579,172625,168175,245479
2010,152,1172507,1221053,1232154,1259804
2010,155,502533,518516,467935,466126
2010,156,36609086,39361534,37925093,39220055
2010,158,116833,134537,127000,134358
2010,159,199554,239041,230358,259202
2010,160,470758,507957,484374,497227
2010,162,381184,403124,391848,403603
2010,163,323385,78444,74756,247231
2010,166,232511,275591,251907,553530
2010,168,206315,220491,220099,215940
2010,169,10129,12843,11796,13932
2010,170,38533357,39105111,39804588,39645722
2010,173,3550987,3905839,4009904,3559297
2010,174,27265,27271,23358,19975
2010,180,132447,191132,107526,78954
2010,181,541867,581080,732664,993808
2010,184,350000,15409200,59200,30047000
2010,186,1089278,1216175,1099051,1269196
2010,188,311860,336131,323365,339140
2010,190,30364275,11645763,11553306,10982174
2010,194,5302286,5755418,5749730,5944267
2011,21,83940,82591,82591,85217
2011,22,864098,943104,913715,964195
2011,23,69286,65004,64685,66360
2011,24,118358,121638,119504,121132
2011,25,1525021,1535891,1545811,1565434
2011,26,506884,599165,539668,827607
2011,27,85398,78268,78474,81696
2011,28,682763,726398,694309,758817
2011,30,2728487,2845482,2803755,2895922
2011,31,2408581,2509384,2428664,2565707
2011,33,1850508,2132587,1658671,1996469
2011,37,4154864,4560090,3977325,4870346
2011,39,1765310,1808389,1805622,1850534
2011,42,470888,400857,403261,345418
2011,44,2296236,2248453,2314099,2425515
2011,45,3839297,4092855,3955972,4205211
2011,46,2663973,2792747,2667517,2848009
2011,47,650253,580499,577029,657581
2011,48,309063,355005,347520,347454
2011,49,4318365,4543431,4407612,4572750
2011,51,1650339,1770012,1726756,1800542
2011,53,4247874,1348265,4378097,1358524
2011,55,194884,291421,249373,310890
2011,59,466864,491806,481225,499456
2011,60,2190677,2194355,2167380,2230549
2011,62,1926950,128712,1938404,146083
2011,63,1573126,1639685,1809991,1769413
2011,70,2849659,3039401,2937940,3071992
2011,72,766922,814174,784328,824119
2011,74,354983,373769,358101,375902
2011,76,1151572,1273893,1184065,1290339
2011,78,95189,96086,95016,97817
2011,79,111339,105776,106038,110647
2011,80,1000227,1115639,1037867,1137930
2011,82,883577,867834,854163,993996
2011,90,1168835,1166267,1081290,1298408
2011,91,1710935,1793355,1737048,1810067
2011,92,985570,1009882,986263,1043191
2011,94,715522,752971,746052,784260
2011,95,5336675,5454665,5409258,5630026
2011,96,282587,303747,296371,299302
2011,100,920371,964272,940226,988869
2011,106,65527,17600787,191787,61245750
2011,112,416752,414367,441225,566961
2011,114,89990,88487,89116,89391
2011,116,115440,138577,122920,136331
2011,118,464573,475571,470596,479470
2011,120,16910922,18587447,18000000,19772434
2011,121,26441,27177,28484,35230
2011,122,12714049,13042384,12845280,13157929
2011,136,16921,16474,16523,18203
2011,137,62766,70641,67173,80035
2011,138,657233,1179116,965497,831364
2011,139,69428,70810,52010,77031
2011,140,33090536,34584171,34664723,37322905
2011,141,487322,537939,468332,583946
2011,142,476839,524735,490655,624800
2011,143,407594,410245,406435,420026
2011,144,407334,569686,555495,388055
2011,147,4621800,685754,651627,332979
2011,148,136067,160788,155062,185493
2011,151,157575,245479,3199962,272961
2011,152,1224217,1259804,1234331,1355242
2011,155,464122,466126,470806,498232
2011,156,37542263,39220055,39505874,41050152
2011,158,125709,134358,122931,137433
2011,159,216954,259202,245900,316711
2011,160,482669,497227,474544,563106
2011,162,383942,403603,390611,411711
2011,163,72492,247231,206552,411923
2011,166,251061,553530,245042,558834
2011,168,216501,215940,216576,220668
2011,169,10762,13932,13737,17079
2011,170,39529326,39645722,39705813,41265733
2011,173,3765914,3559297,4175604,3955741
2011,174,23389,19975,19243,19244
2011,180,106915,78954,78836,78962
2011,181,724461,993808,679071,718441
2011,184,59200,30047000,377000,25000000
2011,186,1106377,1269196,1143737,1306014
2011,188,318947,339140,323827,332454
2011,190,11539375,10982174,12094782,11027723
2011,194,5758714,5944267,5943842,6118761
2012,21,82420,85217,90223,93070
2012,22,891118,964195,977601,2211842
2012,23,64643,66360,66916,71970
2012,24,119870,121132,125603,129568
2012,25,1553113,1565434,1616491,1643927
2012,26,544101,827607,772909,576367
2012,27,78267,81696,82522,88374
2012,28,689770,758817,770477,820331
2012,30,2794827,2895922,3007817,3058900
2012,31,2374075,2565707,2589308,2779156
2012,33,1647686,1996469,1787826,1905979
2012,37,3966598,4870346,4432737,5301176
2012,39,1811419,1850534,1886944,1903557
2012,42,402742,345418,359864,384903
2012,44,2336547,2425515,2951208,2765575
2012,45,3952258,4205211,4182336,4398921
2012,46,2641770,2848009,2732743,2902608
2012,47,580433,657581,655181,626478
2012,48,339910,347454,353676,375228
2012,49,4386802,4572750,4674812,4937174
2012,51,1630830,1800542,1685505,1768829
2012,53,4391013,1358524,14780139,1319803
2012,55,237286,310890,275443,298214
2012,59,463456,499456,495954,539454
2012,60,2184963,2230549,2267125,2360274
2012,62,1935211,146083,2060585,173196
2012,63,1743853,1769413,1764114,1893058
2012,70,2936636,3071992,3126764,3312198
2012,72,769968,824119,829488,875545
2012,74,355231,375902,373115,395702
2012,76,1147820,1290339,1258423,1375873
2012,78,94683,97817,100650,115177
2012,79,108771,110647,112064,113679
2012,80,1022926,1137930,1073752,1209562
2012,82,837452,993996,879487,1085700
2012,90,1074500,1298408,1350000,2930303
2012,91,1730347,1810067,1876226,1943909
2012,92,966088,1043191,1121876,1250519
2012,94,733529,784260,721156,794523
2012,95,5392556,5630026,5817019,6146782
2012,96,299114,299302,300261,303546
2012,100,926220,988869,985504,1013991
2012,106,174940,61245750,397550,34542507
2012,112,449402,566961,570698,585785
2012,114,89116,89391,94164,94655
2012,116,119332,136331,129688,148181
2012,118,464177,479470,491493,528503
2012,120,18026853,19772434,20055910,23093310
2012,121,28484,35230,36107,37919
2012,122,12855128,13157929,13632411,14059209
2012,136,16434,18203,18949,18114
2012,137,67154,80035,72579,67171
2012,138,962085,831364,690942,800664
2012,139,55978,77031,58200,78531
2012,140,34652352,37322905,39042518,41705880
2012,141,462116,583946,554727,679878
2012,142,480810,624800,562316,694789
2012,143,403255,420026,442128,459574
2012,144,538321,388055,392533,459632
2012,147,653403,332979,30088639,13240890
2012,148,144707,185493,198679,218136
2012,151,3184109,272961,249555,310451
2012,152,1221922,1355242,1282475,1380483
2012,155,465432,498232,498766,515467
2012,156,39046861,41050152,44644070,43193527
2012,158,122639,137433,137854,145786
2012,159,238433,316711,308100,350511
2012,160,469857,563106,542112,618020
2012,162,384084,411711,415201,444019
2012,163,197154,411923,397107,605648
2012,166,248831,558834,538799,686509
2012,168,213504,220668,230190,238750
2012,169,12899,17079,16846,16967
2012,170,39368247,41265733,42294691,43479215
2012,173,3978120,3955741,4333820,4742951
2012,174,19254,19244,20413,30214
2012,180,78472,78962,82335,41117
2012,181,660374,718441,634437,651788
